"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ABCG2"	573.80657892598	0.265715080247717	0.14039431428911	1.89263419671353	0.058406532812744	0.150930427733594
"ABCG5"	73.8766107475775	-0.637477869065688	0.279361070012679	-2.28191375783589	0.0224944324266657	0.0746364374629811
"ABCG8"	54.706670604029	-0.524710568123354	0.52482074891416	-0.999790060147139	0.317412117124316	0.488290921340428
"ABHD1"	187.918544198894	-0.621349560429084	0.142780184871166	-4.35179125863818	1.35029790162581e-05	0.000303445872683424
"ABHD10"	2546.23646783398	0.0502990865808196	0.0810054079190279	0.620934921173386	0.534642443277447	0.689290088505707
"ABHD11"	1399.87401672503	0.230966978286401	0.138473507316212	1.66795066264174	0.0953255212667796	0.215008125589197
"ABHD11_AS1"	101.618158374509	1.15886362371463	0.277208309978262	4.18047937958823	2.90895190942999e-05	0.000526833284103413
"ABHD12"	2627.39391539143	-0.191115321682854	0.111501341954442	-1.71401813048081	0.0865253961425343	0.200371530398054
"ABHD13"	534.343121443934	0.450774433394564	0.100318469538131	4.49343411507314	7.00837111020026e-06	0.000189490903292958
"ABHD14A"	1034.48534593587	-0.810797139288298	0.188502230815314	-4.30126018021867	1.69829510503263e-05	0.000360340366238469
"ABHD14B"	6202.79401032032	-0.266808218140518	0.0770998312469066	-3.46055515071212	0.000539062800887994	0.00450811944882902
"ABHD15"	2360.32184145304	-0.279747660597627	0.117212794119893	-2.38666489181618	0.0170019810115125	0.0603987196330765
"ABHD16B"	443.624716003488	0.197074055515845	0.114234117886947	1.72517684874918	0.0844956065526735	0.197079889811554
"ABHD17A"	1945.98457064286	-0.291750487526889	0.145476795913291	-2.00547781998705	0.0449119896001489	0.124510568294035
"ABHD17B"	879.982236312439	0.304013087022739	0.0895799795901542	3.39376151249038	0.000689397008536534	0.00541927142218049
"ABHD17C"	737.970987458568	0.178723345939146	0.118920730186437	1.50287797307461	0.132870514083173	0.271061532354325
"ABHD18"	1281.00761772551	0.104043759402153	0.0578674164511174	1.7979679374496	0.0721820888535074	0.176211329948225
"ABHD2"	9218.62804123859	0.0898387764196466	0.0656014638493223	1.36946298372235	0.170854597990697	0.322635568950977
"ABHD3"	589.893142265658	0.201625955176734	0.0840763633439517	2.39812888138243	0.0164790658996125	0.0590666142861057
"ABHD4"	2189.25702238887	0.178890666399083	0.079305712835951	2.25570970869564	0.0240888171491862	0.0786574556170365
"ABHD5"	983.220701350257	0.141411929936395	0.0907437551614633	1.55836541792629	0.11914664952023	0.250628378536245
"ABHD6"	3269.1632063117	-0.0216373697499519	0.0786849962235728	-0.274987237572868	0.783326043414246	0.872004463423406
"ABHD8"	882.158337530392	-0.291837659963088	0.139700461977433	-2.08902430122408	0.0367055356918411	0.107450527245221
"ABI1"	2399.64780652746	0.240113757794746	0.0621749177878552	3.86190712167935	0.000112505339719984	0.00140378210585204
"ABI2"	5068.0862814808	-0.0570550800002413	0.0533417955606772	-1.06961303796645	0.28479352407238	0.453593386581363
"ABI3"	641.90633626646	-0.264622153498924	0.164564988911659	-1.60801003450969	0.107832981107668	0.23357623178629
"ABI3BP"	2222.15215944837	0.464290840324643	0.137308295178069	3.38137502706974	0.000721240324307796	0.00560315616653418
"ABL1"	6777.00063516156	0.0938126452147454	0.0714161248534961	1.31360593153428	0.188978851592253	0.345021044554167
"ABL2"	3341.68000283881	-0.161358413734277	0.0712026602277881	-2.26618518490836	0.0234400473357254	0.0770689861994677
"ABLIM1"	15244.1684986546	-0.0467330113150683	0.051930004099433	-0.899923120082684	0.368161165332966	0.53914696755388
"ABLIM2"	865.795217641675	0.248984821647693	0.162942960768578	1.52804895942279	0.126500382586164	0.262020155461678
"ABLIM3"	3276.05509060339	0.265585664416505	0.219192083016155	1.2116571947397	0.225643631028759	0.388690227865232
"ABO"	1531.0844608888	0.0394124500363749	0.395407163363892	0.0996756095693282	0.920601864834233	0.956826285933709
"ABR"	6288.52006005465	-0.023328080261141	0.22268382533699	-0.104758754821273	0.916567238787969	0.954424000652028
"ABRA"	65.3727964954364	-1.29992898163793	0.311823731481514	-4.1687942590572	3.06215241647096e-05	0.000544245288182091
"ABRACL"	427.158321190776	0.126906144766058	0.126647935639269	1.0020387945961	0.316324856446785	0.48730206014669
"ABT1"	699.783870982928	-0.334204638156895	0.120144935547149	-2.78167894996908	0.00540785076673187	0.0254167505650204
"ABTB1"	1690.86620015129	0.281296897242055	0.0950980117559368	2.95796822718004	0.00309674041489791	0.0167616444462113
"ABTB2"	2695.23913976098	0.341259592299898	0.162171837780421	2.10430859618154	0.0353515366973769	0.10472284388143
"ACAA1"	18300.6303731981	-0.476793893166044	0.14461352223917	-3.2970215079714	0.000977160180178774	0.00706394237199553
"ACAA2"	13838.2378347372	-0.119543148514238	0.145661573022179	-0.820691044549105	0.411822273154162	0.580078481235853
"ACACA"	3719.2444638828	-0.436482730566594	0.0669229451051748	-6.52216859076698	6.92980582256488e-11	1.83042824873256e-08
"ACACB"	12513.1063575086	-0.148922596691198	0.0816181207303149	-1.8246266314226	0.0680573917761505	0.169075004978256
"ACAD10"	5835.13223553485	0.0552998428080187	0.0890182806538903	0.621218949656291	0.53445557295929	0.689204426328531
"ACAD8"	2848.75905761257	-0.0443731493550474	0.0740760199556623	-0.59902178034952	0.549158360463017	0.701713805942639
"ACAD9"	2877.86366318597	-0.0953875568245325	0.0452974503667348	-2.10580410270911	0.0352213723200354	0.104495548878985
"ACADL"	1521.51148001211	0.29872978334745	0.116360657176234	2.56727480401739	0.010250134422548	0.0414178766535014
"ACADM"	6163.0517127633	0.487299462535561	0.160062175241862	3.04443858643822	0.0023311501984235	0.0135306009995717
"ACADS"	3715.68149481549	-0.257535742279408	0.111680929154113	-2.30599569890777	0.0211108726672971	0.0712507514890553
"ACADSB"	14770.8437188353	0.349517631378604	0.0979555990823589	3.56812305424969	0.000359547646476031	0.00332780244870457
"ACADVL"	21620.3641850613	-0.0213975906198238	0.122547845293781	-0.174606012602897	0.861389223793894	0.921617223363704
"ACAN"	478.729449978547	0.350651983324331	0.273645356708882	1.28141031714042	0.200049582205958	0.358924084689876
"ACAP1"	850.618963676358	-0.168443536224479	0.102463965404502	-1.64392950789583	0.100190764141919	0.222365902843465
"ACAP2"	2056.48518694645	0.241491904314048	0.0598241358566177	4.03669690930161	5.420902883448e-05	0.000828775437274432
"ACAP3"	2856.68537967962	0.0325517907493405	0.0897807911914491	0.362569657911867	0.716926379546998	0.827712259460857
"ACAT1"	13602.8125814486	0.331798473491708	0.103848896953539	3.19501201481372	0.00139825019476044	0.00917681865208024
"ACAT2"	596.691142208971	-0.117336264058449	0.122216819182498	-0.960066420017351	0.337021787556426	0.508062786070444
"ACBD3"	1870.86903055726	0.108450622282813	0.0736576226597811	1.47236115376324	0.14092337735599	0.282094708706733
"ACBD4"	2985.55113785931	-0.15195145418776	0.105598298053869	-1.43895741681599	0.150162588108233	0.294678417559749
"ACBD5"	3115.60892808956	0.34916636987995	0.060984580767392	5.72548610626256	1.03137986937045e-08	1.04779650752788e-06
"ACBD6"	1090.5009942919	-0.115269777685059	0.0614277655817169	-1.87650936988285	0.0605853692948833	0.155020894996103
"ACCS"	1792.86977484894	0.13673327210527	0.159998345466482	0.854591787850166	0.392777175469785	0.562857134265982
"ACD"	707.954509584709	0.109765415022833	0.0939235827042676	1.16866724908105	0.242537722127097	0.408648690009826
"ACE"	6390.74449050968	-0.263426364680143	0.295929994665148	-0.890164462639945	0.37337758353287	0.544542600882041
"ACE2"	9006.80616979797	0.232490961510669	0.149292355881537	1.55728644067449	0.119402493239363	0.250899643280131
"ACER2"	393.73564600135	0.321860194367973	0.187462793872326	1.71692839800083	0.0859922554461428	0.199540618158512
"ACER3"	1293.95770553617	0.0319959400860195	0.0863873569226224	0.370377578685252	0.711101177447113	0.824398014082792
"ACHE"	167.543288886057	-0.0511476731828955	0.233953595391503	-0.218623155148798	0.826943613904423	0.900703857585805
"ACIN1"	7675.41330693535	0.0721396053006699	0.04906259680694	1.47035848070858	0.141464690037092	0.282847008646423
"ACKR1"	111.291747412781	0.0535377947846712	0.395311194438305	0.135432023018581	0.892270306657536	0.941149584787456
"ACKR2"	217.007102780338	-0.126466192873301	0.165047353064692	-0.76624187255964	0.443532397815829	0.609200619047998
"ACKR3"	515.711133794543	-0.0158112913828492	0.155919910948781	-0.101406493158165	0.919227782252157	0.956092753657653
"ACKR4"	272.999472110725	0.357261296747232	0.160848112232077	2.2211096654449	0.0263435345505744	0.0842257252697975
"ACLY"	12851.353520301	0.00820030592306535	0.0938093129884917	0.087414625071088	0.930341944752763	0.963333987664205
"ACMSD"	4538.41615045041	-0.207087568087312	0.0937767462168088	-2.20830404595754	0.0272230854852152	0.0862030901319917
"ACO1"	15583.7233953365	0.289763301515312	0.102612279148242	2.82386575876261	0.00474482533416646	0.022973464794784
"ACO2"	17304.9254404827	0.105426577105025	0.0487519357942925	2.16251058316679	0.0305788422329891	0.0941549753045533
"ACOT1"	764.343112481094	0.018846674660883	0.30332566245683	0.062133465755029	0.950456546655433	0.974814124822409
"ACOT11"	4183.17012888663	-0.203407595758192	0.109945289560065	-1.85008013141906	0.0643020011259619	0.162043307989379
